game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
950400,Blame Him,Blame him,51,5,150,0.447
1694450,Mix Hentai Girls,Mix Hentai Girls,569,990,32,0.8440000000000001
1343220,LINGERING,Lingering Fragrance,56,20,552,0.917
1672700,Tiny Hunter,Tiny Hunter,852,210,7,1.0
1338020,Super Glitter Rush,Super Glitter Rush,5,2,72,0.972
1213420,Texas Holdem Poker: Solo King,NULL,NULL,NULL,NULL,NULL
1385820,Ninja Kunoichi,Ninja Kunoichi,192,30,1,1.0
735650,One More Night: BiO Clinic,One More Night: BiO Clinic,719,200,4,1.0
1048100,Peekaboo,Peekaboo,230000,86,3229,0.794
345700,Echo Tokyo: An Intro,Echo Tokyo: An Intro,11,5,156,0.615
